Time,REF_temp,RTD2,RTD3,RTD4,RTD5,RTD6,RTD7,RTD8
36032.888906002045,69.937,71.9146,71.8868,72.0189,71.9372,71.9053,71.9592,71.9687
36037.84705662727,69.939,71.9166,71.8888,72.0196,71.9375,71.9066,71.9601,71.9679
36042.828207492836,69.941,71.9167,71.8867,72.0204,71.9385,71.9063,71.9598,71.9688
36047.78535747528,69.943,71.9159,71.8864,72.0172,71.9358,71.9044,71.9573,71.968
36052.74951004982,69.943,71.9135,71.8833,72.0161,71.9359,71.905,71.9555,71.9675
36057.730662822716,69.943,71.9116,71.8804,72.0125,71.9319,71.9018,71.9509,71.9642
36062.729814291,69.942,71.9102,71.878,72.0108,71.9292,71.8991,71.9489,71.9626
36067.69996547699,69.942,71.9078,71.8753,72.0068,71.9268,71.8975,71.9472,71.9597
36072.680116176605,69.94,71.9054,71.8723,72.0041,71.925,71.8943,71.9456,71.9571
36077.64726638794,69.938,71.9034,71.8699,71.9994,71.9217,71.8903,71.9406,71.9549
36082.61041760445,69.936,71.8991,71.8697,71.9999,71.9212,71.8895,71.9417,71.9539
36087.57156777382,69.934,71.9001,71.8676,71.9975,71.9199,71.8876,71.9379,71.9509
36092.57071852683,69.932,71.9004,71.8699,71.9993,71.9186,71.8888,71.9397,71.9525
36099.85193896294,69.93,71.8991,71.8692,71.9999,71.9196,71.8885,71.9409,71.9528
36104.817089557655,69.93,71.8977,71.8683,72.002,71.919,71.8893,71.9409,71.9514
36109.77724313737,69.929,71.899,71.8697,72.0005,71.9204,71.8888,71.9408,71.9527
36114.74439430237,69.929,71.901,71.8737,72.0039,71.9214,71.8924,71.9449,71.9543
36119.693543195724,69.929,71.9042,71.8771,72.0079,71.9274,71.894,71.9467,71.9581
36124.66269350052,69.93,71.9058,71.8795,72.0095,71.9286,71.8967,71.9497,71.9587
36129.66384649277,69.931,71.9071,71.8817,72.0122,71.931,71.8984,71.9521,71.9619
36134.64499664307,69.933,71.909,71.8809,72.0138,71.9326,71.9002,71.9531,71.9643
36139.60114789009,69.934,71.9114,71.8848,72.0161,71.9342,71.9032,71.9574,71.9661
36144.5732986927,69.936,71.9134,71.8864,72.0181,71.9366,71.9036,71.9573,71.9677
36149.53544831277,69.938,71.9153,71.8857,72.0197,71.9382,71.9045,71.9581,71.9685
36154.49659919739,69.94,71.9145,71.8865,72.0183,71.9367,71.9047,71.9563,71.9688
36159.47475028038,69.941,71.914,71.8857,72.0193,71.9375,71.9048,71.956,71.9688
36164.444900035865,69.942,71.9143,71.883,72.0157,71.9356,71.9034,71.9541,71.9667
36169.42705535889,69.941,71.9129,71.8796,72.0138,71.9324,71.9016,71.952,71.9651
36174.38520526886,69.941,71.9087,71.8759,72.0095,71.929,71.8994,71.9465,71.9616
36179.35735607147,69.94,71.9071,71.8748,72.0082,71.9268,71.8944,71.9467,71.9594
36184.33650660515,69.938,71.9025,71.8711,72.0025,71.9233,71.8925,71.9417,71.956
36189.297657489784,69.936,71.9006,71.8689,72.0007,71.9207,71.89,71.9409,71.9543
36194.25880718231,69.934,71.8985,71.8676,71.9996,71.9212,71.8887,71.9382,71.952
36199.243958473206,69.931,71.8985,71.8667,71.9989,71.9183,71.8901,71.9381,71.9511
36204.257110595696,69.929,71.8974,71.8663,71.9993,71.9177,71.8867,71.9389,71.9511
36209.208260297775,69.928,71.8969,71.8668,71.9991,71.919,71.8872,71.9373,71.9506
36214.17040991783,69.928,71.8967,71.867,71.9989,71.9177,71.8855,71.9385,71.9491
36219.1575615406,69.928,71.8986,71.8699,72.0009,71.9185,71.8882,71.9398,71.9522
36224.099710702896,69.92699999999999,71.8977,71.8708,72.0023,71.921,71.8893,71.9424,71.9539
36229.05886483192,69.92699999999999,71.9015,71.8731,72.0063,71.9241,71.8922,71.9469,71.9563
36234.0400159359,69.928,71.9044,71.8755,72.0068,71.9257,71.8941,71.9486,71.9583
36239.006165981285,69.929,71.907,71.8782,72.0111,71.9287,71.8978,71.9504,71.9613
36243.969316244125,69.931,71.9094,71.8804,72.0125,71.9316,71.9007,71.9529,71.9621
36248.93946743012,69.933,71.9113,71.8835,72.0156,71.9358,71.9028,71.9555,71.9663
36253.89861702919,69.935,71.9135,71.8828,72.0154,71.9342,71.9021,71.9566,71.9658
36258.86273217201,69.937,71.9137,71.8862,72.0183,71.935,71.9034,71.9589,71.9677
36263.832783699036,69.939,71.9162,71.8888,72.0191,71.937,71.9077,71.9593,71.9688
36268.80583524703,69.94,71.9159,71.887,72.0197,71.9372,71.9066,71.9574,71.9696
36273.80188775063,69.941,71.9159,71.8848,72.0178,71.9356,71.9048,71.9569,71.9695
36278.786938905716,69.942,71.9154,71.8838,72.0146,71.9356,71.9037,71.9544,71.9672
36283.751990795135,69.942,71.9124,71.8803,72.0124,71.9322,71.9018,71.9533,71.9647
36288.73104667664,69.942,71.9102,71.8764,72.0085,71.9286,71.8975,71.9478,71.9626
36293.691097021096,69.942,71.9074,71.8734,72.0052,71.9252,71.8946,71.9437,71.9589
36298.67215156555,69.94,71.9038,71.8724,72.0041,71.9238,71.8917,71.9451,71.9579
36303.64920282364,69.937,71.9026,71.8695,72.0009,71.9217,71.8898,71.9411,71.9552
36308.63825464249,69.936,71.899,71.8646,71.9977,71.917,71.888,71.9373,71.9506
36313.59931278229,69.933,71.8959,71.8652,71.9989,71.9178,71.8872,71.9376,71.9511
36318.53248238564,69.931,71.8953,71.8644,71.9983,71.9161,71.8866,71.9377,71.9517
36323.49597835541,69.929,71.8964,71.8663,71.9972,71.9186,71.8867,71.9389,71.9506
36328.460474967964,69.928,71.8978,71.8671,71.9994,71.9193,71.8874,71.94,71.9514
36333.40696954727,69.92699999999999,71.8998,71.8695,72.0034,71.9217,71.8887,71.9427,71.9536
36338.3864672184,69.928,71.8986,71.8713,72.0034,71.9215,71.8893,71.9437,71.9541
36343.36585187912,69.928,71.9022,71.8726,72.0053,71.9236,71.8917,71.9446,71.9554
36348.32300114632,69.929,71.9038,71.874,72.0071,71.9274,71.8946,71.9467,71.9591
36353.252146720886,69.93,71.9066,71.8798,72.0117,71.9302,71.8973,71.952,71.9605
36358.200206518166,69.931,71.9111,71.8824,72.0146,71.9321,71.9,71.955,71.964
36363.15335345268,69.932,71.9134,71.8822,72.0135,71.9342,71.8999,71.9539,71.9655
36368.11341023445,69.934,71.9129,71.8865,72.017,71.9351,71.904,71.9581,71.9672
36373.07455611228,69.935,71.9146,71.8851,72.0162,71.9358,71.9042,71.9587,71.9677
36378.07461166382,69.938,71.9143,71.8859,72.0188,71.9367,71.906,71.9595,71.9695
