RTD temps,REF_temp,Time
"[31.2577, 31.2142, 31.3437, 31.2595, 31.2245, 31.2456, 31.2864]",30.418,645.783047914505
"[31.2597, 31.2172, 31.3445, 31.2615, 31.2275, 31.2464, 31.2891]",30.419,650.7331540584564
"[31.2621, 31.2201, 31.3484, 31.2642, 31.2286, 31.2513, 31.2921]",30.425,655.6893424987793
"[31.2645, 31.2213, 31.3513, 31.2666, 31.2329, 31.2524, 31.294]",30.427,660.6724526882172
"[31.2676, 31.2237, 31.3535, 31.268, 31.2332, 31.254, 31.2956]",30.429,665.6385588645935
"[31.2701, 31.2264, 31.3552, 31.2704, 31.2351, 31.2564, 31.2995]",30.431,670.609167098999
"[31.2719, 31.2308, 31.3581, 31.2754, 31.2391, 31.2591, 31.2995]",30.433,675.5742733478546
"[31.2742, 31.2323, 31.3604, 31.2759, 31.2411, 31.2632, 31.303]",30.436,680.5503733158112
"[31.2768, 31.2334, 31.3636, 31.2794, 31.2446, 31.2643, 31.3071]",30.438,685.5185582637787
"[31.2799, 31.2357, 31.3658, 31.283, 31.2474, 31.2668, 31.3084]",30.44,690.4966614246368
"[31.2809, 31.2392, 31.3677, 31.2825, 31.2478, 31.2681, 31.3098]",30.443,695.4857642650604
"[31.2847, 31.2397, 31.3687, 31.2863, 31.2497, 31.2709, 31.312]",30.445,700.4538731575012
"[31.2856, 31.2432, 31.3717, 31.2865, 31.2527, 31.2745, 31.314]",30.447,705.4179809093475
"[31.2878, 31.2454, 31.3739, 31.2904, 31.2552, 31.2771, 31.3175]",30.449,710.3880848884583
"[31.2899, 31.2498, 31.378, 31.2931, 31.258, 31.2785, 31.32]",30.451,715.3612751960754
"[31.2932, 31.2517, 31.3808, 31.296, 31.2599, 31.2813, 31.3229]",30.457,720.3263804912567
"[31.2962, 31.2531, 31.3816, 31.2985, 31.2621, 31.284, 31.3253]",30.458,725.298483133316
"[31.2992, 31.2557, 31.3854, 31.3024, 31.2644, 31.2867, 31.3267]",30.46,730.2875862121582
"[31.3019, 31.2577, 31.3868, 31.3028, 31.2664, 31.2891, 31.3308]",30.462,735.2516872882843
